Name,Accuracy,Precision,Recall,F1 score,ROC_AUC Score
log_reg,0.7280457410936813,0.7505154639175258,0.6592212496226985,0.7019122609673791,0.7261328597030254
log_reg,0.7280457410936813,0.7505154639175258,0.6592212496226985,0.7019122609673791,0.7261328597030254
clf,0.706201436739481,0.6988757216651473,0.6942348324781165,0.6965475469412478,0.7058688415526272
gb,0.7312710746224894,0.7427821522309711,0.6833685481436764,0.711837761358277,0.7299396902634003
ada,0.7261398621902947,0.7599856063332134,0.6374886809538183,0.6933683519369666,0.7236759254255978
dt_gini,0.6345110687582466,0.6278852152214598,0.6076063990341081,0.6175793833410033,0.6337632907371225
dt_en,0.6384694326345111,0.631236442516269,0.6148505885904014,0.6229357798165137,0.6378129795859646
knn,0.6906611933734057,0.6829936111956191,0.6776335647449442,0.6803030303030303,0.6902991084842167
svc,0.7309778624835068,0.7551795580110497,0.6601267733172351,0.7044612659043324,0.7290086546175685
gnb,0.7149978009089576,0.7412759957701798,0.6347721098702083,0.6839024390243903,0.7127680389715922
bnb,0.7119190734496408,0.7303485987696514,0.6450347117416239,0.6850456803974996,0.7100601152778815
mlp,0.7314176806919807,0.7479075995982591,0.6743133111983097,0.7092063492063492,0.7298305438545709
log_reg,0.7280457410936813,0.7505154639175258,0.6592212496226985,0.7019122609673791,0.7261328597030254
clf,0.706201436739481,0.6988757216651473,0.6942348324781165,0.6965475469412478,0.7058688415526272
gb,0.7312710746224894,0.7427821522309711,0.6833685481436764,0.711837761358277,0.7299396902634003
ada,0.7261398621902947,0.7599856063332134,0.6374886809538183,0.6933683519369666,0.7236759254255978
dt_gini,0.6345110687582466,0.6278852152214598,0.6076063990341081,0.6175793833410033,0.6337632907371225
dt_en,0.6384694326345111,0.631236442516269,0.6148505885904014,0.6229357798165137,0.6378129795859646
knn,0.6906611933734057,0.6829936111956191,0.6776335647449442,0.6803030303030303,0.6902991084842167
svc,0.7309778624835068,0.7551795580110497,0.6601267733172351,0.7044612659043324,0.7290086546175685
gnb,0.7149978009089576,0.7412759957701798,0.6347721098702083,0.6839024390243903,0.7127680389715922
bnb,0.7119190734496408,0.7303485987696514,0.6450347117416239,0.6850456803974996,0.7100601152778815
